Views,Duration,Likes,Comments,Category,Title_Length,Channel_Subscribers,Channel_Views,Video_Age,Average_Video_Views,Hashtag_Count,Audio_Language,Total_Videos_Posted,Channel_Size_Num,Channel_Age,Title_Sentiment,Engagement_Rate
693175,16,15968,940,14,55,491000,162997964,142,145404.071364852,3,16,1121,2,2962,0.0,3.4435845213849285
53223,673,913,83,12,19,173000,16417719,422,31817.2848837209,0,16,516,2,651,0.0,0.5757225433526012
8333987,2054,208485,8654,12,40,20400000,6510896239,304,3688893.05325779,0,19,1765,4,5023,0.625,1.064406862745098
754762,2080,2908,53,6,82,3010000,1398347534,69,2164624.66563467,0,16,646,3,1766,0.65,0.09837209302325581
9333716,24,560479,641,5,80,81900,22587126,875,127610.881355932,3,16,177,1,1542,0.0,685.1282051282051
2851466,60,200300,1976,3,22,8900000,13667673087,186,4792311.74158485,0,63,2852,3,1845,0.118181818181818,2.2727640449438202
4283394,19,57689,41,2,45,739000,478900456,251,2418689.17171717,2,31,198,2,1310,0.375,7.81190798376184
3930470,21,164305,1001,10,87,748000,611187456,304,2790810.30136986,4,63,219,2,5710,0.0,22.099732620320857
7676769,61,442334,2217,12,75,1710000,734959456,438,1889355.92802056,4,63,389,3,3749,0.15,25.997134502923974
11239615,3372,392234,17146,1,35,6870000,1737597416,172,5950676.08219178,0,16,292,3,3786,0.0,5.958951965065502
4269872,1698,137009,5065,12,44,20400000,6510896239,92,3688893.05325779,0,19,1765,4,5023,0.0,0.6964411764705882
1565164,16,19661,33,12,90,1360000,921703976,94,3103380.39057239,6,63,297,3,3084,0.0,1.4480882352941178
515888,1821,4377,464,3,77,914000,352922593,193,140494.662818471,0,16,2512,2,3745,0.2,0.5296498905908096
45531540,20,1387028,9131,3,37,1200000,469369074,390,6095702.25974025,0,16,77,3,3659,0.0,116.34658333333334
1026170,1991,40638,4458,12,63,2630000,343509648,25,1635760.22857142,0,16,210,3,3724,0.0,1.7146768060836501
1936627,964,13196,322,12,48,69000,21796471,326,42571.232421875,0,16,512,1,568,0.6,19.591304347826085
1557923,2191,53166,4237,12,60,2630000,343509648,270,1635760.22857142,0,16,210,3,3724,0.1,2.1826235741444866
3834238,1376,125550,7162,12,31,20400000,6510896239,29,3688893.05325779,0,19,1765,4,5023,0.214285714285714,0.6505490196078432
1521688,232,66666,1438,12,44,2230000,84994383,947,1847703.97826086,0,16,46,3,2442,0.0,3.0539910313901344
8317590,2394,191076,7349,12,37,20400000,6510896239,199,3688893.05325779,1,19,1765,4,5023,0.0,0.972671568627451
