Views,Likes,Engagement_Rate,Comments,Average_Video_Views,Hashtag_Count,Channel_Country,Video_Age,Weekly_Videos,Total_Videos_Posted,Title_Length,Month,Channel_Subscribers,Publish_Hour_Time,Title_Sentiment,Duration
352469,2448,0.718644760248419,85,3364.01799485861,0,32,575,1.6644254278728607,389,92,6,3730,1,0.0,308
51042,2781,5.53661690372634,45,610607.973921765,5,32,5,6.298736462093863,997,74,1,1200000,16,0.0,783
7099131,391547,5.52008407789629,331,165703.745535714,6,88,144,6.953436807095344,448,63,8,204000,17,0.0,26
836016,4827,0.594725459799812,145,593546.372873563,0,86,641,4.2468619246861925,2175,32,4,3000000,12,0.6,1243
971792,17278,1.7852585738511901,71,111935.38912645,0,32,120,4.667617107942974,1637,95,9,526000,19,-0.2,14
8541231,237790,2.80884570385697,2120,846967.214117647,0,86,93,1.0115606936416186,425,45,10,2640000,5,0.0,50
93227509,2147745,2.30808483792053,4025,63260.8988355278,0,38,443,347.8555219364599,65695,59,11,11900000,3,0.3125,23
15245,687,5.39849130862577,136,49363.6597938144,0,86,14,0.4569313593539704,97,58,1,75700,6,1.0,788
4680944,404919,8.68867476303925,1793,5638929.18712574,3,32,164,3.6332556332556334,668,57,8,6820000,23,0.0,60
962011,45309,4.819071715396181,1051,405123.674382716,0,32,1546,3.013953488372093,1296,75,10,7200000,2,0.341666666666666,601
21766,343,3.65707984930625,453,123255.290346626,0,85,6,9.879537085744344,2683,87,1,616000,3,0.0,539
59550,3205,5.40218303946263,12,133900.56685499,3,32,160,4.6231343283582085,531,73,8,127000,8,0.0,44
6177391,435922,7.09174795637834,2163,1517795.92857142,3,56,372,0.4068987543915682,182,66,1,681000,4,0.0,60
1603196,37161,2.45790283907893,2244,701890.383541513,1,86,174,1.9614988676137535,1361,44,7,6820000,14,0.0,2293
3934043,167402,4.5586690333583,11938,1635760.22857142,1,86,103,0.39473684210526316,210,66,10,2630000,8,-0.025,973
187793,9523,5.280814513853009,394,2140.7865497076,0,11,79,0.7316625916870415,684,50,11,29600,7,-0.4,630
768789,29253,3.8326510915218606,212,2722965.31872749,3,5,14,3.826115485564304,1666,75,1,15300000,2,0.0,31
84860,10917,13.6589677115248,674,106799.891276864,6,86,9,15.073502722323049,2373,97,1,449000,7,0.3375,53
13874716,265478,1.9425190396689902,4041,2863320.04239401,0,86,948,2.613594040968343,401,37,6,3340000,5,0.0,653
13019,662,5.77617328519855,90,1907.84074074074,6,57,111,13.5,270,97,9,1490,8,0.0,15
407168,6372,1.5649559886828,0,34879.630675526,0,86,46,2.656440428661483,1806,63,12,289000,15,0.0,2207
19932,1431,7.55067228577162,74,25618.9109195402,0,85,7,1.61004626569729,348,101,1,115000,2,-0.15,635
11080940,364334,3.2966246545870606,963,13793669.3344086,0,86,48,7.796407185628742,930,20,12,13400000,4,0.7,57
8988609,146260,1.6302744951971901,279,3114342.98601398,0,86,147,0.2621105001309243,143,31,8,711000,14,0.0,24
3792956,128572,3.4372927078510798,1803,129998.889543446,0,86,922,0.8687625662584537,679,83,7,2100000,13,-0.1,36
1064358,27637,2.64394123030033,504,1161371.56,0,11,270,3.200795228628231,1150,87,4,10100000,5,0.158333333333333,1977
472191,11165,2.37467465495953,48,104931.1009009,5,32,253,0.8013613861386139,555,96,5,172000,20,0.5,30
719722,61250,8.53996404167164,214,448921.492917847,1,85,804,1.1822966507177033,1059,44,11,6150000,3,0.5,20
292282,2333,0.79820173667896,0,8965.0971563981,0,86,1781,0.5225543958959844,422,32,3,36700,13,-0.1,61
29701168,705382,2.44166828725388,19822,919920.46835443,0,11,38,0.3992779783393502,79,38,12,311000,16,0.0,222
17436158,558001,3.2303217256920904,5243,502003.160614525,3,11,178,1.7414871438498958,716,84,7,4540000,0,-0.1,29
162500,6015,3.8203076923076904,193,871647.971830985,0,77,8,0.9454660748256183,213,26,1,527000,9,-0.3,181
13661,161,1.28101895908059,14,2007.5,0,32,2336,0.02373887240356083,8,38,8,148,2,0.6,164
212928,808,0.39731740306582497,38,457450.913043478,0,88,13,0.17321140398063475,46,46,1,49900,11,1.0,7374
168446,10981,6.606865108105859,148,8466.2,7,87,248,0.9485094850948509,50,89,5,729,12,0.0,12
107692,2940,2.93800839430969,224,778481.273609314,0,32,6,3.3125191307009487,1546,58,1,3360000,4,0.678571428571428,317
32041254,178261,0.587682991433481,10040,574403.382716049,0,4,100,0.11429147349324734,81,43,10,243000,7,0.0,176
1848855,101130,5.49756470896852,512,106296.842335766,2,87,351,1.6483327603987625,685,71,2,51900,3,0.0,19
28029479,981088,3.51927697264726,5347,9241016.23249669,0,87,511,6.828608247422681,757,24,8,4720000,14,0.136363636363636,23
921423,76170,8.27915083517559,116,1868980.33842794,0,32,24,2.9878844361602983,458,35,12,1100000,20,0.15625,60
131806,4389,3.7350348239078603,534,386986.453488372,0,87,3140,0.29853706917927103,172,26,6,774000,9,0.75,303
1320604,9804,0.7523830005058291,132,523918.047368421,0,86,382,1.3135802469135802,380,41,1,1230000,2,0.0,4645
70088,6876,10.0830384659285,191,111850.0,0,86,10,0.2754919499105546,22,61,1,68000,4,0.333333333333333,1267
54847,3931,7.51545207577442,191,96873.8990719257,0,86,32,1.904070684758599,862,55,12,810000,8,1.0,1089
470839,10607,2.54566847691036,1379,37839.7692307692,0,85,1397,0.020172910662824207,13,34,3,4050,0,0.175,5519
713743,62660,8.79672375070578,126,749243.325301204,1,87,12,0.2849901896664487,249,43,1,97700,6,-0.125,56
2567167,26430,1.04527675838774,404,1358126.38767281,0,87,227,2.8667138476055674,1736,14,6,186000,1,0.0,114
9371853,132882,1.4475045649990401,2776,12615273.8463157,0,86,1837,1.0287747524752475,475,57,1,6750000,12,0.0,161
800327,51223,6.51183828610055,893,5534.57923497267,0,86,335,0.5919593345656192,183,22,2,3610,4,0.0,92
12917394,462592,3.69974779742725,15319,12357120.5,0,87,1353,0.1683125805066552,56,39,5,27400,7,0.0,251
204603,10746,5.54244072667556,594,103458.807839388,0,37,44,2.4694772344013494,1046,51,12,324000,8,0.0,1370
2494991,18371,0.760363464236945,600,595135.451434562,1,86,238,10.748975409836067,10491,75,5,24100000,6,0.175,2665
7069244,80565,1.14031995500508,47,8315038.99789916,0,32,119,10.696629213483146,952,43,9,7350000,17,-0.05,16
11544641,869916,7.55171165565044,1902,1311636.26691266,0,32,95,4.056307911617962,813,49,10,1890000,23,0.5,56
504351,6728,1.386534377844,265,87710.2329896907,0,85,423,5.315762004175365,1455,65,11,1060000,4,0.0,900
105257,1539,1.50203786921534,42,48444.0,0,87,3779,0.0074093675575549085,4,23,9,797,12,0.0,214
470022,20713,4.71701324618847,1458,228041.409090909,0,2,2346,0.04985432178698608,22,36,8,383000,4,0.0,747
516458,6978,1.36177578815702,55,7379.88340807174,0,87,208,2.6547619047619047,223,89,6,17000,23,0.0,1828
817552,8609,1.24603694933166,1578,122224.92768742,0,32,7,223.6360523038605,205234,91,1,38800000,9,0.0,140
18967718,127430,0.685317021267397,2559,7431204.65989847,0,86,456,0.9503790489317713,394,34,10,10200000,7,0.0,953
5535667,152621,2.76450877554592,413,866947.101925545,1,29,138,11.16960262187628,3895,42,9,3210000,23,0.0,25
11927,723,6.89192588245158,99,19863.6111111111,0,87,887,0.10096153846153846,18,27,8,17300,13,0.0,733
4242814,0,0.140119269899646,5945,364767.90625,7,32,204,1.9735682819383262,64,100,6,47500,5,0.0,15
677924,11022,1.7296924138988998,704,1047532.10747663,2,32,47,0.6996730499766465,214,100,12,1870000,2,0.216666666666666,1912
337867,8270,2.49772839608485,169,2055.06122448979,4,87,261,1.1762688614540466,245,73,5,1640,10,0.0,37
457809,23184,5.154114488793359,412,471354.902222222,3,32,270,1.6555711282410652,675,93,4,695000,23,0.266666666666666,36
8596118,76792,0.921427556020054,2415,1439760.55813953,0,25,39,0.4303073624017155,172,74,12,1190000,6,0.0,335
11761626,91575,0.812676750646551,4009,2001397.09195402,0,86,3278,0.1869818851704022,174,51,1,478000,8,-0.8,239
59383580,396125,0.674236885010974,4261,2295484.14108082,0,86,1577,2.5407047387606316,2091,44,9,8900000,10,0.25,163
373710,6686,1.82654999866206,140,35948.366837938,0,87,2326,280.6619792582176,228098,62,9,42300000,6,0.0,431
103932,12327,11.9299157141207,72,219437.24276032,3,86,8,2.306333739342265,1623,66,1,698000,23,0.0,26
91146632,2481911,2.72604148445112,2784,11926502.7561643,5,87,47,2.54228855721393,365,69,12,6630000,10,-0.05,47
405865,5749,1.80404814408731,1573,5087.86666666666,0,86,782,0.7130730050933787,120,70,11,6500,7,0.0,547
194646,7934,4.29754528734214,431,655510.084837545,2,85,75,1.0286472148541113,554,75,11,2430000,8,0.0,2136
221314,5414,2.57010401510975,274,679217.568840579,0,57,9,1.3741109530583215,552,78,1,1370000,4,1.0,1817
2445737,48262,2.10791266599802,3292,350356.487004103,0,18,280,3.174317617866005,731,36,4,1150000,9,0.136363636363636,907
11310065,585088,5.19819293699903,2831,1021416.31873479,0,38,717,10.216619318181818,2055,30,2,2120000,22,0.0,27
1729407,66002,3.84871808660425,558,31301.2359154929,0,87,841,1.2993464052287582,284,38,10,25600,18,1.0,20
338339,18887,5.90029526599061,1076,106160.802056555,0,17,235,0.5429710867397807,389,51,5,349000,7,0.0,1082
2786761,10248,0.377283879026583,266,662175.359389348,0,86,154,12.803695150115473,8712,44,8,8640000,5,0.625,3606
45945987,252338,0.560194734743645,5049,9210243.5,0,73,1454,0.6796116504854369,160,80,1,5150000,2,-0.158333333333333,328
10275,120,1.8978102189781,75,8650.86841862609,2,86,11,158.42028380634392,54225,65,1,1310000,14,0.0,271
172808,2838,1.74991898523216,186,34640.4455569461,0,86,124,1.606260769672602,799,52,9,406000,4,0.6,827
266849,6208,2.41222564071815,229,37273.5701133144,0,86,557,1.6251233146991122,1412,46,7,572000,4,0.5,812
393670,17154,4.67929992125384,1267,819343.647727272,0,87,563,2.40625,264,55,7,381000,8,0.116666666666666,98
190934,13752,7.3140456911812395,213,35948.366837938,0,87,1238,280.6619792582176,228098,91,8,42300000,14,0.0,775
1109412,23551,2.12851492502334,63,1862833.24215246,1,32,31,2.058009228740936,446,82,12,3290000,3,0.0,38
311135,2855,0.985424333488678,211,150294.64,0,87,4007,0.04367357125031196,25,62,1,64400,2,0.2,5599
12282060,297254,2.44963792718811,3612,325423.322314049,3,86,294,4.1166464155528555,484,85,3,305000,16,0.433333333333333,56
122974,3080,2.71276855270219,256,388652.071428571,1,27,107,1.2894736842105263,336,54,10,698000,3,0.0,977
714593,9242,1.29486294995892,11,11635.3710691823,7,32,832,1.2837370242214534,318,98,10,16300,3,-0.25,16
3389461,37752,1.1419809816369,955,37273.5701133144,0,86,3278,1.6251233146991122,1412,50,1,572000,7,0.0,165
90616,4000,4.57093669992054,142,59293.3178137651,0,86,180,1.669724770642202,494,40,7,96000,0,0.25,15
64252,1801,3.1578783539811903,228,167926.600978743,0,86,5,48.3403305046896,46386,84,1,7090000,16,0.0,204
37480,2744,7.56136606189968,90,66159.5652173913,0,32,814,0.04401312192454893,23,51,10,18100,4,0.208333333333333,370
3438103,47673,1.41199958232781,873,447505.879875195,0,11,1273,1.4981636060100167,641,47,7,2380000,5,0.0,620
46499,1440,3.23017699305361,62,660554.756051674,3,86,557,16.395710928319623,7973,92,7,8970000,9,0.0,60
3686176,64189,1.77425060550554,1213,1831691.01671309,0,85,1053,1.17981220657277,359,96,3,9060000,20,0.0,5770
865481,19584,2.30715636738414,384,572562.287565816,0,86,3271,5.222239008913733,4938,57,2,25600000,7,0.8,987
1189897,3913,0.337256081828931,100,73646.625,0,86,46,2.553745928338762,112,99,12,55600,14,0.233333333333333,5055
2414927,28995,1.38683281109532,4496,241385.018286311,0,87,5,90.79696394686907,47850,82,1,13700000,18,-0.15,659
1247612,44364,3.5810812977111404,314,34392.5833333333,8,87,34,4.792792792792793,456,97,12,64100,5,0.0,40
7020627,533353,7.72704489214424,9134,9090882.71571906,0,87,656,0.6558044806517311,598,45,4,23500000,7,0.0,31
3133319,35065,1.15420740754452,1100,89845.3590225564,0,11,1059,0.9179196450579246,532,45,2,306000,6,0.85,270
281791,11358,4.23576338492002,578,23863.3375796178,0,27,527,0.8512780790085206,157,97,8,113000,5,0.0,837
1972666,55843,3.7014882397729703,17175,7125333.49553571,0,60,14,0.6468646864686468,224,33,1,18400000,22,0.0,1307
4099365,119528,2.9475784664210103,1304,23653.8755980861,6,87,112,5.626923076923077,209,60,9,27800,0,0.0,30
2390317,22929,0.975686488444838,393,2282660.89795918,0,25,88,0.1348800629178136,49,27,10,267000,6,0.0,147
238448,16289,6.8685835066765,89,69473.5674740484,1,32,618,9.122886133032695,1156,63,5,804000,3,0.0,24
7172634,196775,2.98554199196557,17367,464963.117507619,0,86,547,11.101503759398495,2953,29,7,2230000,8,0.0,59
63403129,680675,1.09093354051974,11011,3647278.625,0,87,528,0.40433212996389895,64,39,8,890000,14,-0.0714285714285714,147
1065233,44396,4.211191354379739,463,6046.16666666666,4,86,571,0.45373961218836567,234,94,6,8110,15,0.0,14
13167,15,0.11392116655274499,0,2116.42537313432,0,42,2690,0.2563541951352829,134,39,9,866,19,0.0,33
6330842,111604,1.77235508325748,601,1180735.76149425,4,32,168,2.832558139534884,1044,92,8,2790000,11,0.0,12
1814989,34388,2.0020507011337196,1949,135987.10701107,0,86,881,1.1218214074512123,271,90,8,534000,2,0.375,1854
35817404,461810,1.32648083596454,13301,10631430.8813559,0,87,303,0.2984104046242775,59,33,3,17200,18,0.0,166
1567971,119153,7.64618733382186,737,749243.325301204,2,87,23,0.2849901896664487,249,41,12,97700,0,0.0,37
179209,6389,3.74869565702615,329,212723.187458745,0,32,40,5.315789473684211,1515,53,12,1650000,4,0.0,4552
31520532,121832,0.39271862543436703,1955,1560044.08333333,0,86,1126,0.36713286713286714,120,62,12,765000,4,0.875,908
21928,1496,7.35589201021525,117,90462.9963848888,0,32,9,40.9369274136716,16597,81,1,12100000,4,0.0,1999
4519166,22159,0.494582407461907,192,3091830.69083155,0,86,142,1.5463966085727743,469,55,8,4550000,1,0.154166666666666,1370
1493171,25056,1.70322086351797,376,285309.248175182,0,76,425,2.19954128440367,548,81,11,1300000,2,0.35,2185
696883,23965,4.00268050734484,3929,205465.684412529,0,86,6,29.75736842105263,8077,94,1,3200000,10,-0.05,796
1950279,62654,3.29547721120926,1617,618320.968421052,0,87,939,0.18690275435637999,95,35,6,455000,7,0.0,319
3426194,404002,11.8404270161,1674,1962428.77624309,3,87,211,8.390728476821192,362,41,6,1060000,4,0.0,14
4297834,140837,3.47730973322841,8612,580371.564386937,0,86,1716,6.044692737430168,3246,39,5,12500000,2,-0.2,827
5671300,31676,0.581894803660536,1325,3756280.70495767,0,86,2303,17.44258453297623,7443,34,9,81100000,21,0.4,513
3060045,166163,5.45174989256693,663,886341.392857142,3,32,117,1.0122315846697472,532,83,9,1600000,23,0.3,15
